date,nominal_effective_exchange_rate,effective_federal_funds_rate,cpi_index,djia_adj_close,gold_price
2011-01-01,97.84869565217392,,216.142,11577.509766,1356.4
2011-02-01,,0.17,216.739,11891.929688,1372.7
2011-03-01,95.561,0.16,217.259,12226.339844,1424.0
2011-04-01,94.24478260869564,0.14,217.707,,1473.8
2011-06-01,,,218.484,12569.790039,1528.7
2011-07-01,,0.09,219.553,12414.339844,1572.8
2011-09-01,,,220.506,11613.530273,1771.9
2011-10-01,94.44636363636364,0.08,220.54,10913.379883,1665.2
2011-11-01,95.41476190476186,0.07,220.138,,1739.0
2011-12-01,,0.08,219.969,12045.679688,1652.3
2012-02-01,97.34681818181816,0.08,,,1742.6
2012-03-01,,,221.117,12952.070313,1673.8
2012-05-01,96.64285714285714,0.14,,13213.629883,1585.5
2012-06-01,97.95782608695654,,,12393.450195,1596.7
2012-08-01,99.43000000000002,0.16,223.316,13008.679688,1626.0
2012-09-01,98.31000000000004,0.13,,13090.839844,1744.5
2012-11-01,,0.16,,,1721.1
2012-12-01,,0.16,223.814,13025.580078,1688.5
2013-01-01,96.46666666666668,0.16,,,1671.0
2013-02-01,97.08521739130435,,224.79,13860.580078,1627.6
2013-03-01,,0.15,,,1592.9
2013-05-01,100.61409090909092,0.15,225.986,14839.799805,1413.5
2013-06-01,,,226.896,15115.570313,1342.4
2013-08-01,101.7895652173913,0.09,,15499.540038999998,1347.1
2013-10-01,100.18142857142858,,,15129.669922,1316.2
2013-11-01,98.87695652173912,,228.362,15545.75,1275.8
2014-01-01,100.20909090909092,,228.892,,1244.8
2014-02-01,,0.07,230.256,,1301.0
2014-03-01,101.142,0.07,,,1336.1
2014-04-01,100.77809523809525,0.08,231.968,16457.660156,1299.0
2014-05-01,100.25954545454546,,231.689,16580.839844,1287.5
2014-07-01,,0.1,,,1311.0
2014-08-01,,0.09,234.475,,1296.0
2014-10-01,103.87545454545452,0.09,234.675,17042.900391,1222.5
2014-11-01,105.5991304347826,0.09,234.43400000000003,17390.519531,1176.3
2015-01-01,109.90608695652172,,234.658,17823.070313,1251.9
2015-04-01,118.32954545454548,0.11,236.435,,1197.9
2015-05-01,117.55636363636364,0.12,236.777,17840.519531,1199.1
2015-07-01,116.18954545454548,,238.568,,1130.0
2015-08-01,,0.13,239.085,17689.859375,1117.5
2015-09-01,119.20809523809524,,239.298,16528.029297,1124.5
2015-10-01,119.09272727272727,0.14,239.651,,1159.3
2015-12-01,121.3095238095238,0.12,239.325,,1068.3
2016-01-01,121.69869565217392,,239.514,17425.029297,1097.4
2016-03-01,120.88047619047614,0.38,,16516.5,1246.3
2016-04-01,,0.36,241.485,17685.089844,1242.3
2016-06-01,116.58454545454548,0.37,242.811,17787.199219,1276.4
2016-07-01,,,244.28,17929.990234,1337.3
2016-09-01,,0.4,245.472,18400.880859,1326.0
2016-10-01,116.16772727272728,,246.127,,1266.6
2016-11-01,118.26238095238097,0.4,246.264,18142.419922,1236.0
2016-12-01,120.71363636363635,,,19123.580078,1151.4
2017-02-01,122.27772727272726,0.65,247.942,19864.089844,1234.4
2017-03-01,,0.66,248.693,20812.240234,1231.1
2017-04-01,121.34565217391304,,248.978,20663.220703,1265.6
2017-06-01,119.70782608695652,0.91,250.376,21008.650391,1260.3
2017-07-01,118.22636363636362,,251.629,21349.630859,1236.2
2017-08-01,,,251.87,21891.119141,1282.3
2017-09-01,,1.16,252.615,21948.099609,1315.0
2017-11-01,114.7968181818182,1.15,253.125,23377.240234,1282.3
2017-12-01,115.02227272727272,1.16,253.177,24272.349609,1261.3
2018-02-01,111.57521739130436,1.41,,26149.390625,1331.5
2018-03-01,110.7965,,255.713,25029.199219,1324.7
2018-05-01,111.41571428571427,1.69,256.969,24163.150391,1303.0
2018-06-01,114.19434782608695,,257.907,24415.839844,1281.6
2018-08-01,116.23409090909094,1.91,,25415.189453,1201.3
2018-09-01,,,,25964.820313,1198.5
2018-11-01,117.2295652173913,2.19,,25115.759766,1221.0
2018-12-01,,2.2,,25538.460938,1247.9
2019-01-01,,2.27,261.36,23327.460938,1291.8
2019-02-01,117.45521739130434,2.4,262.284,,1320.1
2019-03-01,,2.4,263.057,25916.0,1300.9
2019-05-01,,2.42,264.452,26592.910156,1284.0
2019-06-01,,2.39,265.137,24815.039063,1359.0
2019-08-01,118.41391304347827,,,,1498.8
